Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Fossil Finders | Ice Ages,1/28/2024,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,"Temp: 59°F, Wind: 6 mph, Light Rain Likely"
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Temp: 59°F, Wind: 8 mph, Light Rain Likely"
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,47.38765995,-122.24000381780328,"Temp: 61°F, Wind: 5 mph, Light Rain Likely"
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,"Temp: 62°F, Wind: 7 mph, Light Rain Likely"
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,"Temp: 62°F, Wind: 7 mph, Light Rain Likely"
Walla Walla Wine On Tour,1/29/2024,Marion Oliver McCaw Hall,Festivals & Special Events,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,"Temp: 62°F, Wind: 7 mph, Light Rain Likely"
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,47.6086439,-122.337685,"Temp: 57°F, Wind: 6 to 10 mph, Light Rain Likely"
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,"Temp: 38°F, Wind: 14 mph, Partly Sunny"
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,47.38765995,-122.24000381780328,"Temp: 59°F, Wind: 8 mph, Light Rain Likely"
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,"Temp: 55°F, Wind: 12 mph, Light Rain"
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,"Temp: 55°F, Wind: 12 mph, Light Rain"
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,"Temp: 54°F, Wind: 12 mph, Light Rain"
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,"Temp: 40°F, Wind: 6 to 10 mph, Mostly Sunny"
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,"Temp: 40°F, Wind: 8 mph, Mostly Cloudy"
JP Saxe,1/31/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,"Temp: 54°F, Wind: 12 mph, Light Rain"
Los Lobos,1/31/2024,The Triple Door,Music,Downtown,47.6086439,-122.337685,"Temp: 54°F, Wind: 12 mph, Light Rain"
The Daimonics,1/31/2024,The Royal Room,Music,South Seattle,32.2275723,-110.9685178,"Temp: 77°F, Wind: 8 mph, Sunny"
BabyTron,2/1/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,"Temp: 50°F, Wind: 9 mph, Light Rain Likely"
Battlestar Kalakala,2/1/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Temp: 50°F, Wind: 10 mph, Light Rain Likely"
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,47.6251322,-122.51453295865404,"Temp: 49°F, Wind: 10 mph, Light Rain Likely"
